"quadrat","quadrat_depth_m","species","length_cm","site","region","region_nation","date","depth_band","visibility_m","bearing","reg_id"
"9",4.1,"Saccharina latissima",113,"False Narrows","Nanaimo","Snuneymuxw",2024-07-20,"deep",2.5,240,2
"9",4.1,"Saccharina latissima",41,"False Narrows","Nanaimo","Snuneymuxw",2024-07-20,"deep",2.5,240,2
"10",4.1,"Saccharina latissima",32,"False Narrows","Nanaimo","Snuneymuxw",2024-07-20,"deep",2.5,240,2
"10",4.1,"Saccharina latissima",66,"False Narrows","Nanaimo","Snuneymuxw",2024-07-20,"deep",2.5,240,2
"10",4.1,"Saccharina latissima",142,"False Narrows","Nanaimo","Snuneymuxw",2024-07-20,"deep",2.5,240,2
"1",2.3,"Saccharina latissima",58,"False Narrows","Nanaimo","Snuneymuxw",2024-07-21,"shallow",2,330,2
"1",2.3,"Saccharina latissima",159,"False Narrows","Nanaimo","Snuneymuxw",2024-07-21,"shallow",2,330,2
"1",2.3,"Saccharina latissima",60,"False Narrows","Nanaimo","Snuneymuxw",2024-07-21,"shallow",2,330,2
"1",2.3,"Saccharina latissima",194,"False Narrows","Nanaimo","Snuneymuxw",2024-07-21,"shallow",2,330,2
"1",2.3,"Saccharina latissima",33,"False Narrows","Nanaimo","Snuneymuxw",2024-07-21,"shallow",2,330,2
"1",2.3,"Saccharina latissima",36,"False Narrows","Nanaimo","Snuneymuxw",2024-07-21,"shallow",2,330,2
"1",2.3,"Saccharina latissima",119,"False Narrows","Nanaimo","Snuneymuxw",2024-07-21,"shallow",2,330,2
"2",2.1,"Saccharina latissima",198,"False Narrows","Nanaimo","Snuneymuxw",2024-07-21,"shallow",2,330,2
"2",2.1,"Saccharina latissima",3,"False Narrows","Nanaimo","Snuneymuxw",2024-07-21,"shallow",2,330,2
"2",2.1,"Saccharina latissima",189,"False Narrows","Nanaimo","Snuneymuxw",2024-07-21,"shallow",2,330,2
"2",2.1,"Saccharina latissima",60,"False Narrows","Nanaimo","Snuneymuxw",2024-07-21,"shallow",2,330,2
"2",2.1,"Saccharina latissima",135,"False Narrows","Nanaimo","Snuneymuxw",2024-07-21,"shallow",2,330,2
"2",2.1,"Saccharina latissima",71,"False Narrows","Nanaimo","Snuneymuxw",2024-07-21,"shallow",2,330,2
"2",2.1,"Saccharina latissima",62,"False Narrows","Nanaimo","Snuneymuxw",2024-07-21,"shallow",2,330,2
"2",2.1,"Saccharina latissima",122,"False Narrows","Nanaimo","Snuneymuxw",2024-07-21,"shallow",2,330,2
"3",1.9,"Saccharina latissima",273,"False Narrows","Nanaimo","Snuneymuxw",2024-07-21,"shallow",2,330,2
"3",1.9,"Saccharina latissima",203,"False Narrows","Nanaimo","Snuneymuxw",2024-07-21,"shallow",2,330,2
"3",1.9,"Saccharina latissima",119,"False Narrows","Nanaimo","Snuneymuxw",2024-07-21,"shallow",2,330,2
"3",1.9,"Saccharina latissima",115,"False Narrows","Nanaimo","Snuneymuxw",2024-07-21,"shallow",2,330,2
"3",1.9,"Saccharina latissima",210,"False Narrows","Nanaimo","Snuneymuxw",2024-07-21,"shallow",2,330,2
"4",1.9,"Saccharina latissima",238,"False Narrows","Nanaimo","Snuneymuxw",2024-07-21,"shallow",2,330,2
"4",1.9,"Saccharina latissima",61,"False Narrows","Nanaimo","Snuneymuxw",2024-07-21,"shallow",2,330,2
"4",1.9,"Saccharina latissima",240,"False Narrows","Nanaimo","Snuneymuxw",2024-07-21,"shallow",2,330,2
"5",1.9,"Saccharina latissima",235,"False Narrows","Nanaimo","Snuneymuxw",2024-07-21,"shallow",2,330,2
"5",1.9,"Saccharina latissima",64,"False Narrows","Nanaimo","Snuneymuxw",2024-07-21,"shallow",2,330,2
"6",2,"Saccharina latissima",78,"False Narrows","Nanaimo","Snuneymuxw",2024-07-21,"shallow",2,330,2
"6",2,"Saccharina latissima",10,"False Narrows","Nanaimo","Snuneymuxw",2024-07-21,"shallow",2,330,2
"6",2,"Saccharina latissima",115,"False Narrows","Nanaimo","Snuneymuxw",2024-07-21,"shallow",2,330,2
"6",2,"Saccharina latissima",172,"False Narrows","Nanaimo","Snuneymuxw",2024-07-21,"shallow",2,330,2
"6",2,"Saccharina latissima",134,"False Narrows","Nanaimo","Snuneymuxw",2024-07-21,"shallow",2,330,2
"6",2,"Saccharina latissima",33,"False Narrows","Nanaimo","Snuneymuxw",2024-07-21,"shallow",2,330,2
"6",2,"Alaria marginata",223,"False Narrows","Nanaimo","Snuneymuxw",2024-07-21,"shallow",2,330,2
"7",1.9,"Saccharina latissima",74,"False Narrows","Nanaimo","Snuneymuxw",2024-07-21,"shallow",2,330,2
"7",1.9,"Saccharina latissima",50,"False Narrows","Nanaimo","Snuneymuxw",2024-07-21,"shallow",2,330,2
"7",1.9,"Saccharina latissima",162,"False Narrows","Nanaimo","Snuneymuxw",2024-07-21,"shallow",2,330,2
"7",1.9,"Saccharina latissima",248,"False Narrows","Nanaimo","Snuneymuxw",2024-07-21,"shallow",2,330,2
"7",1.9,"Saccharina latissima",21,"False Narrows","Nanaimo","Snuneymuxw",2024-07-21,"shallow",2,330,2
"7",1.9,"Saccharina latissima",22,"False Narrows","Nanaimo","Snuneymuxw",2024-07-21,"shallow",2,330,2
"7",1.9,"Saccharina latissima",205,"False Narrows","Nanaimo","Snuneymuxw",2024-07-21,"shallow",2,330,2
"7",1.9,"Saccharina latissima",231,"False Narrows","Nanaimo","Snuneymuxw",2024-07-21,"shallow",2,330,2
"7",1.9,"Costaria costata",63,"False Narrows","Nanaimo","Snuneymuxw",2024-07-21,"shallow",2,330,2
"8",1.7,"Saccharina latissima",205,"False Narrows","Nanaimo","Snuneymuxw",2024-07-21,"shallow",2,330,2
"8",1.7,"Saccharina latissima",23,"False Narrows","Nanaimo","Snuneymuxw",2024-07-21,"shallow",2,330,2
"8",1.7,"Saccharina latissima",20,"False Narrows","Nanaimo","Snuneymuxw",2024-07-21,"shallow",2,330,2
"8",1.7,"Saccharina latissima",118,"False Narrows","Nanaimo","Snuneymuxw",2024-07-21,"shallow",2,330,2
"8",1.7,"Saccharina latissima",89,"False Narrows","Nanaimo","Snuneymuxw",2024-07-21,"shallow",2,330,2
"8",1.7,"Saccharina latissima",110,"False Narrows","Nanaimo","Snuneymuxw",2024-07-21,"shallow",2,330,2
"8",1.7,"Saccharina latissima",34,"False Narrows","Nanaimo","Snuneymuxw",2024-07-21,"shallow",2,330,2
"9",1.7,"Saccharina latissima",210,"False Narrows","Nanaimo","Snuneymuxw",2024-07-21,"shallow",2,330,2
"9",1.7,"Saccharina latissima",126,"False Narrows","Nanaimo","Snuneymuxw",2024-07-21,"shallow",2,330,2
"9",1.7,"Saccharina latissima",90,"False Narrows","Nanaimo","Snuneymuxw",2024-07-21,"shallow",2,330,2
"9",1.7,"Saccharina latissima",42,"False Narrows","Nanaimo","Snuneymuxw",2024-07-21,"shallow",2,330,2
"9",1.7,"Saccharina latissima",33,"False Narrows","Nanaimo","Snuneymuxw",2024-07-21,"shallow",2,330,2
"9",1.7,"Saccharina latissima",152,"False Narrows","Nanaimo","Snuneymuxw",2024-07-21,"shallow",2,330,2
"10",1.6,"Saccharina latissima",90,"False Narrows","Nanaimo","Snuneymuxw",2024-07-21,"shallow",2,330,2
"10",1.6,"Saccharina latissima",35,"False Narrows","Nanaimo","Snuneymuxw",2024-07-21,"shallow",2,330,2
"10",1.6,"Saccharina latissima",102,"False Narrows","Nanaimo","Snuneymuxw",2024-07-21,"shallow",2,330,2
"10",1.6,"Alaria marginata",73,"False Narrows","Nanaimo","Snuneymuxw",2024-07-21,"shallow",2,330,2
"1",8.6,"Neoagarum fimbriatum",51,"Stryker","Bella Bella","Heiltsuk",2024-07-26,"deep",4,35,5
"1",8.6,"Pterygophora californicum",61,"Stryker","Bella Bella","Heiltsuk",2024-07-26,"deep",4,35,5
"1",8.6,"Hedophyllum nigripes",21,"Stryker","Bella Bella","Heiltsuk",2024-07-26,"deep",4,35,5
"2",8.2,"Pterygophora californicum",71,"Stryker","Bella Bella","Heiltsuk",2024-07-26,"deep",4,35,5
"4",7,"Pterygophora californicum",91,"Stryker","Bella Bella","Heiltsuk",2024-07-26,"deep",4,35,5
"4",7,"Pterygophora californicum",17,"Stryker","Bella Bella","Heiltsuk",2024-07-26,"deep",4,35,5
"6",7.6,"Hedophyllum nigripes",36,"Stryker","Bella Bella","Heiltsuk",2024-07-26,"deep",4,35,5
"6",7.6,"Hedophyllum nigripes",122,"Stryker","Bella Bella","Heiltsuk",2024-07-26,"deep",4,35,5
"6",7.6,"Pterygophora californicum",64,"Stryker","Bella Bella","Heiltsuk",2024-07-26,"deep",4,35,5
"7",7.6,"Pterygophora californicum",112,"Stryker","Bella Bella","Heiltsuk",2024-07-26,"deep",4,35,5
"7",7.6,"Pterygophora californicum",171,"Stryker","Bella Bella","Heiltsuk",2024-07-26,"deep",4,35,5
"8",7.2,"Pterygophora californicum",124,"Stryker","Bella Bella","Heiltsuk",2024-07-26,"deep",4,35,5
"8",7.2,"Pterygophora californicum",34,"Stryker","Bella Bella","Heiltsuk",2024-07-26,"deep",4,35,5
"1",4.1,"Pterygophora californicum",87,"Stryker","Bella Bella","Heiltsuk",2024-07-26,"shallow",3,35,5
"1",4.1,"Pterygophora californicum",94,"Stryker","Bella Bella","Heiltsuk",2024-07-26,"shallow",3,35,5
"2",3.7,"Pterygophora californicum",181,"Stryker","Bella Bella","Heiltsuk",2024-07-26,"shallow",3,35,5
"3",3.6,"Pterygophora californicum",202,"Stryker","Bella Bella","Heiltsuk",2024-07-26,"shallow",3,35,5
"3",3.6,"Hedophyllum nigripes",64,"Stryker","Bella Bella","Heiltsuk",2024-07-26,"shallow",3,35,5
"5",3.4,"Pterygophora californicum",92,"Stryker","Bella Bella","Heiltsuk",2024-07-26,"shallow",3,35,5
"5",3.4,"Pterygophora californicum",110,"Stryker","Bella Bella","Heiltsuk",2024-07-26,"shallow",3,35,5
"5",3.4,"Pterygophora californicum",116,"Stryker","Bella Bella","Heiltsuk",2024-07-26,"shallow",3,35,5
"5",3.4,"Pterygophora californicum",103,"Stryker","Bella Bella","Heiltsuk",2024-07-26,"shallow",3,35,5
"6",3.6,"Hedophyllum nigripes",12,"Stryker","Bella Bella","Heiltsuk",2024-07-26,"shallow",3,35,5
"6",3.6,"Hedophyllum nigripes",28,"Stryker","Bella Bella","Heiltsuk",2024-07-26,"shallow",3,35,5
"6",3.6,"Hedophyllum nigripes",44,"Stryker","Bella Bella","Heiltsuk",2024-07-26,"shallow",3,35,5
"6",3.6,"Hedophyllum nigripes",111,"Stryker","Bella Bella","Heiltsuk",2024-07-26,"shallow",3,35,5
"6",3.6,"Hedophyllum nigripes",76,"Stryker","Bella Bella","Heiltsuk",2024-07-26,"shallow",3,35,5
"6",3.6,"Hedophyllum nigripes",31,"Stryker","Bella Bella","Heiltsuk",2024-07-26,"shallow",3,35,5
"6",3.6,"Hedophyllum nigripes",15,"Stryker","Bella Bella","Heiltsuk",2024-07-26,"shallow",3,35,5
"7",3.5,"Pterygophora californicum",112,"Stryker","Bella Bella","Heiltsuk",2024-07-26,"shallow",3,35,5
"7",3.5,"Costaria costata",62,"Stryker","Bella Bella","Heiltsuk",2024-07-26,"shallow",3,35,5
"8",3.7,"Pterygophora californicum",157,"Stryker","Bella Bella","Heiltsuk",2024-07-26,"shallow",3,35,5
"9",3.7,"Hedophyllum nigripes",18,"Stryker","Bella Bella","Heiltsuk",2024-07-26,"shallow",3,35,5
"9",3.7,"Hedophyllum nigripes",74,"Stryker","Bella Bella","Heiltsuk",2024-07-26,"shallow",3,35,5
"9",3.7,"Hedophyllum nigripes",42,"Stryker","Bella Bella","Heiltsuk",2024-07-26,"shallow",3,35,5
"9",3.7,"Hedophyllum nigripes",22,"Stryker","Bella Bella","Heiltsuk",2024-07-26,"shallow",3,35,5
"9",3.7,"Hedophyllum nigripes",113,"Stryker","Bella Bella","Heiltsuk",2024-07-26,"shallow",3,35,5
"9",3.7,"Pterygophora californicum",83,"Stryker","Bella Bella","Heiltsuk",2024-07-26,"shallow",3,35,5
"10",3.5,"Pterygophora californicum",121,"Stryker","Bella Bella","Heiltsuk",2024-07-26,"shallow",3,35,5
"10",3.5,"Pterygophora californicum",100,"Stryker","Bella Bella","Heiltsuk",2024-07-26,"shallow",3,35,5
"10",3.5,"Pterygophora californicum",88,"Stryker","Bella Bella","Heiltsuk",2024-07-26,"shallow",3,35,5
"10",3.5,"Pterygophora californicum",126,"Stryker","Bella Bella","Heiltsuk",2024-07-26,"shallow",3,35,5
"10",3.5,"Pterygophora californicum",202,"Stryker","Bella Bella","Heiltsuk",2024-07-26,"shallow",3,35,5
"10",3.5,"Pterygophora californicum",183,"Stryker","Bella Bella","Heiltsuk",2024-07-26,"shallow",3,35,5
"1",8.7,"Hedophyllum nigripes",11,"Simmonds","Bella Bella","Heiltsuk",2024-07-28,"deep",2,10,5
"1",8.7,"Hedophyllum nigripes",194,"Simmonds","Bella Bella","Heiltsuk",2024-07-28,"deep",2,10,5
"2",8.9,"Hedophyllum nigripes",76,"Simmonds","Bella Bella","Heiltsuk",2024-07-28,"deep",2,10,5
"2",8.9,"Hedophyllum nigripes",17,"Simmonds","Bella Bella","Heiltsuk",2024-07-28,"deep",2,10,5
"3",8.8,"Hedophyllum nigripes",79,"Simmonds","Bella Bella","Heiltsuk",2024-07-28,"deep",2,10,5
"3",8.8,"Hedophyllum nigripes",2,"Simmonds","Bella Bella","Heiltsuk",2024-07-28,"deep",2,10,5
"3",8.8,"Hedophyllum nigripes",19,"Simmonds","Bella Bella","Heiltsuk",2024-07-28,"deep",2,10,5
"3",8.8,"Hedophyllum nigripes",12,"Simmonds","Bella Bella","Heiltsuk",2024-07-28,"deep",2,10,5
"3",8.8,"Hedophyllum nigripes",21,"Simmonds","Bella Bella","Heiltsuk",2024-07-28,"deep",2,10,5
"3",8.8,"Hedophyllum nigripes",25,"Simmonds","Bella Bella","Heiltsuk",2024-07-28,"deep",2,10,5
"3",8.8,"Hedophyllum nigripes",24,"Simmonds","Bella Bella","Heiltsuk",2024-07-28,"deep",2,10,5
"3",8.8,"Hedophyllum nigripes",32,"Simmonds","Bella Bella","Heiltsuk",2024-07-28,"deep",2,10,5
"3",8.8,"Hedophyllum nigripes",27,"Simmonds","Bella Bella","Heiltsuk",2024-07-28,"deep",2,10,5
"3",8.8,"Neoagarum fimbriatum",24,"Simmonds","Bella Bella","Heiltsuk",2024-07-28,"deep",2,10,5
"4",6.6,"Hedophyllum nigripes",9,"Simmonds","Bella Bella","Heiltsuk",2024-07-28,"deep",2,10,5
"4",6.6,"Hedophyllum nigripes",7,"Simmonds","Bella Bella","Heiltsuk",2024-07-28,"deep",2,10,5
"4",6.6,"Hedophyllum nigripes",49,"Simmonds","Bella Bella","Heiltsuk",2024-07-28,"deep",2,10,5
"5",6.9,"Hedophyllum nigripes",104,"Simmonds","Bella Bella","Heiltsuk",2024-07-28,"deep",2,10,5
"5",6.9,"Hedophyllum nigripes",69,"Simmonds","Bella Bella","Heiltsuk",2024-07-28,"deep",2,10,5
"5",6.9,"Hedophyllum nigripes",100,"Simmonds","Bella Bella","Heiltsuk",2024-07-28,"deep",2,10,5
"5",6.9,"Hedophyllum nigripes",57,"Simmonds","Bella Bella","Heiltsuk",2024-07-28,"deep",2,10,5
"5",6.9,"Hedophyllum nigripes",56,"Simmonds","Bella Bella","Heiltsuk",2024-07-28,"deep",2,10,5
"5",6.9,"Hedophyllum nigripes",58,"Simmonds","Bella Bella","Heiltsuk",2024-07-28,"deep",2,10,5
"5",6.9,"Hedophyllum nigripes",52,"Simmonds","Bella Bella","Heiltsuk",2024-07-28,"deep",2,10,5
"6",8,"Hedophyllum nigripes",48,"Simmonds","Bella Bella","Heiltsuk",2024-07-28,"deep",2,10,5
"7",7.3,"Hedophyllum nigripes",58,"Simmonds","Bella Bella","Heiltsuk",2024-07-28,"deep",2,10,5
"7",7.3,"Hedophyllum nigripes",96,"Simmonds","Bella Bella","Heiltsuk",2024-07-28,"deep",2,10,5
"7",7.3,"Hedophyllum nigripes",62,"Simmonds","Bella Bella","Heiltsuk",2024-07-28,"deep",2,10,5
"7",7.3,"Hedophyllum nigripes",80,"Simmonds","Bella Bella","Heiltsuk",2024-07-28,"deep",2,10,5
"7",7.3,"Hedophyllum nigripes",74,"Simmonds","Bella Bella","Heiltsuk",2024-07-28,"deep",2,10,5
"7",7.3,"Hedophyllum nigripes",71,"Simmonds","Bella Bella","Heiltsuk",2024-07-28,"deep",2,10,5
"8",7.4,"Hedophyllum nigripes",40,"Simmonds","Bella Bella","Heiltsuk",2024-07-28,"deep",2,10,5
"8",7.4,"Hedophyllum nigripes",33,"Simmonds","Bella Bella","Heiltsuk",2024-07-28,"deep",2,10,5
"8",7.4,"Hedophyllum nigripes",5,"Simmonds","Bella Bella","Heiltsuk",2024-07-28,"deep",2,10,5
"10",7.4,"Hedophyllum nigripes",85,"Simmonds","Bella Bella","Heiltsuk",2024-07-28,"deep",2,10,5
"10",7.4,"Hedophyllum nigripes",56,"Simmonds","Bella Bella","Heiltsuk",2024-07-28,"deep",2,10,5
"10",7.4,"Hedophyllum nigripes",81,"Simmonds","Bella Bella","Heiltsuk",2024-07-28,"deep",2,10,5
"2",2.9,"Hedophyllum nigripes",60,"Simmonds","Bella Bella","Heiltsuk",2024-07-28,"shallow",2,10,5
"5",3,"Hedophyllum nigripes",55,"Simmonds","Bella Bella","Heiltsuk",2024-07-28,"shallow",2,10,5
"5",3,"Hedophyllum nigripes",47,"Simmonds","Bella Bella","Heiltsuk",2024-07-28,"shallow",2,10,5
"5",3,"Pterygophora californicum",97,"Simmonds","Bella Bella","Heiltsuk",2024-07-28,"shallow",2,10,5
"5",3,"Pterygophora californicum",76,"Simmonds","Bella Bella","Heiltsuk",2024-07-28,"shallow",2,10,5
"5",3,"Pterygophora californicum",65,"Simmonds","Bella Bella","Heiltsuk",2024-07-28,"shallow",2,10,5
"5",3,"Pterygophora californicum",132,"Simmonds","Bella Bella","Heiltsuk",2024-07-28,"shallow",2,10,5
"5",3,"Pterygophora californicum",81,"Simmonds","Bella Bella","Heiltsuk",2024-07-28,"shallow",2,10,5
"6",3.8,"Hedophyllum nigripes",147,"Simmonds","Bella Bella","Heiltsuk",2024-07-28,"shallow",2,10,5
"8",3.4,"Hedophyllum nigripes",22,"Simmonds","Bella Bella","Heiltsuk",2024-07-28,"shallow",2,10,5
"10",3.7,"Hedophyllum nigripes",74,"Simmonds","Bella Bella","Heiltsuk",2024-07-28,"shallow",2,10,5
"10",3.7,"Hedophyllum nigripes",36,"Simmonds","Bella Bella","Heiltsuk",2024-07-28,"shallow",2,10,5
"10",3.7,"Hedophyllum nigripes",60,"Simmonds","Bella Bella","Heiltsuk",2024-07-28,"shallow",2,10,5
"10",3.7,"Pterygophora californicum",87,"Simmonds","Bella Bella","Heiltsuk",2024-07-28,"shallow",2,10,5
"1",8.2,"Dictyoneurum reticulatum",45,"McMullin","Bella Bella","Heiltsuk",2024-08-01,"deep",2.5,120,5
"1",8.2,"Dictyoneurum reticulatum",41,"McMullin","Bella Bella","Heiltsuk",2024-08-01,"deep",2.5,120,5
"1",8.2,"Dictyoneurum reticulatum",60,"McMullin","Bella Bella","Heiltsuk",2024-08-01,"deep",2.5,120,5
"1",8.2,"Dictyoneurum reticulatum",68,"McMullin","Bella Bella","Heiltsuk",2024-08-01,"deep",2.5,120,5
"1",8.2,"Dictyoneurum reticulatum",72,"McMullin","Bella Bella","Heiltsuk",2024-08-01,"deep",2.5,120,5
"1",8.2,"Dictyoneurum reticulatum",52,"McMullin","Bella Bella","Heiltsuk",2024-08-01,"deep",2.5,120,5
"1",8.2,"Dictyoneurum reticulatum",36,"McMullin","Bella Bella","Heiltsuk",2024-08-01,"deep",2.5,120,5
"1",8.2,"Dictyoneurum reticulatum",40,"McMullin","Bella Bella","Heiltsuk",2024-08-01,"deep",2.5,120,5
"1",8.2,"Dictyoneurum reticulatum",84,"McMullin","Bella Bella","Heiltsuk",2024-08-01,"deep",2.5,120,5
"1",8.2,"Dictyoneurum reticulatum",57,"McMullin","Bella Bella","Heiltsuk",2024-08-01,"deep",2.5,120,5
"1",8.2,"Dictyoneurum reticulatum",51,"McMullin","Bella Bella","Heiltsuk",2024-08-01,"deep",2.5,120,5
"3",8.4,"Dictyoneurum reticulatum",75,"McMullin","Bella Bella","Heiltsuk",2024-08-01,"deep",2.5,120,5
"3",8.4,"Dictyoneurum reticulatum",63,"McMullin","Bella Bella","Heiltsuk",2024-08-01,"deep",2.5,120,5
"3",8.4,"Dictyoneurum reticulatum",70,"McMullin","Bella Bella","Heiltsuk",2024-08-01,"deep",2.5,120,5
"3",8.4,"Dictyoneurum reticulatum",72,"McMullin","Bella Bella","Heiltsuk",2024-08-01,"deep",2.5,120,5
"3",8.4,"Dictyoneurum reticulatum",73,"McMullin","Bella Bella","Heiltsuk",2024-08-01,"deep",2.5,120,5
"3",8.4,"Dictyoneurum reticulatum",65,"McMullin","Bella Bella","Heiltsuk",2024-08-01,"deep",2.5,120,5
"3",8.4,"Dictyoneurum reticulatum",90,"McMullin","Bella Bella","Heiltsuk",2024-08-01,"deep",2.5,120,5
"3",8.4,"Dictyoneurum reticulatum",84,"McMullin","Bella Bella","Heiltsuk",2024-08-01,"deep",2.5,120,5
"3",8.4,"Dictyoneurum reticulatum",21,"McMullin","Bella Bella","Heiltsuk",2024-08-01,"deep",2.5,120,5
"3",8.4,"Dictyoneurum reticulatum",36,"McMullin","Bella Bella","Heiltsuk",2024-08-01,"deep",2.5,120,5
"3",8.4,"Dictyoneurum reticulatum",58,"McMullin","Bella Bella","Heiltsuk",2024-08-01,"deep",2.5,120,5
"3",8.4,"Dictyoneurum reticulatum",47,"McMullin","Bella Bella","Heiltsuk",2024-08-01,"deep",2.5,120,5
"3",8.4,"Dictyoneurum reticulatum",44,"McMullin","Bella Bella","Heiltsuk",2024-08-01,"deep",2.5,120,5
"3",8.4,"Dictyoneurum reticulatum",40,"McMullin","Bella Bella","Heiltsuk",2024-08-01,"deep",2.5,120,5
"3",8.4,"Hedophyllum nigripes",123,"McMullin","Bella Bella","Heiltsuk",2024-08-01,"deep",2.5,120,5
"4",8.5,"Dictyoneurum reticulatum",92,"McMullin","Bella Bella","Heiltsuk",2024-08-01,"deep",2.5,120,5
"4",8.5,"Dictyoneurum reticulatum",34,"McMullin","Bella Bella","Heiltsuk",2024-08-01,"deep",2.5,120,5
"4",8.5,"Dictyoneurum reticulatum",40,"McMullin","Bella Bella","Heiltsuk",2024-08-01,"deep",2.5,120,5
