"quadrat","quadrat_depth_m","mud_silt","sand","pebble","cobble","boulder","rockface","turf","eelgrass","site","region","region_nation","date","depth_band","visibility_m","bearing","reg_id"
"10",3.5,0,10,0,60,30,0,0,0,"Stryker","Bella Bella","Heiltsuk",2024-07-26,"shallow",3,35,5
"1",8.7,0,30,0,20,50,0,0,0,"Simmonds","Bella Bella","Heiltsuk",2024-07-28,"deep",2,10,5
"2",8.9,0,0,0,0,0,100,0,0,"Simmonds","Bella Bella","Heiltsuk",2024-07-28,"deep",2,10,5
"3",8.8,0,10,10,0,80,0,0,0,"Simmonds","Bella Bella","Heiltsuk",2024-07-28,"deep",2,10,5
"4",6.6,0,0,0,0,10,90,0,0,"Simmonds","Bella Bella","Heiltsuk",2024-07-28,"deep",2,10,5
"5",6.9,0,0,0,0,0,100,0,0,"Simmonds","Bella Bella","Heiltsuk",2024-07-28,"deep",2,10,5
"6",8,0,30,0,0,20,50,0,0,"Simmonds","Bella Bella","Heiltsuk",2024-07-28,"deep",2,10,5
"7",7.3,0,0,0,0,0,100,0,0,"Simmonds","Bella Bella","Heiltsuk",2024-07-28,"deep",2,10,5
"8",7.4,0,30,0,10,0,60,0,0,"Simmonds","Bella Bella","Heiltsuk",2024-07-28,"deep",2,10,5
"9",7.2,0,10,0,10,20,60,0,0,"Simmonds","Bella Bella","Heiltsuk",2024-07-28,"deep",2,10,5
"10",7.4,0,0,0,0,0,100,0,0,"Simmonds","Bella Bella","Heiltsuk",2024-07-28,"deep",2,10,5
"1",3,0,0,0,0,10,90,0,0,"Simmonds","Bella Bella","Heiltsuk",2024-07-28,"shallow",2,10,5
"2",2.9,0,0,0,0,0,100,0,0,"Simmonds","Bella Bella","Heiltsuk",2024-07-28,"shallow",2,10,5
"3",2.5,0,0,0,0,0,100,0,0,"Simmonds","Bella Bella","Heiltsuk",2024-07-28,"shallow",2,10,5
"4",3,0,0,0,0,10,90,0,0,"Simmonds","Bella Bella","Heiltsuk",2024-07-28,"shallow",2,10,5
"5",3,0,0,0,0,0,100,0,0,"Simmonds","Bella Bella","Heiltsuk",2024-07-28,"shallow",2,10,5
"6",3.8,0,0,0,0,40,60,0,0,"Simmonds","Bella Bella","Heiltsuk",2024-07-28,"shallow",2,10,5
"7",3,0,10,0,0,0,90,0,0,"Simmonds","Bella Bella","Heiltsuk",2024-07-28,"shallow",2,10,5
"8",3.4,0,0,0,0,0,100,0,0,"Simmonds","Bella Bella","Heiltsuk",2024-07-28,"shallow",2,10,5
"9",3.4,0,0,0,0,80,20,0,0,"Simmonds","Bella Bella","Heiltsuk",2024-07-28,"shallow",2,10,5
"10",3.7,0,20,0,0,80,0,0,0,"Simmonds","Bella Bella","Heiltsuk",2024-07-28,"shallow",2,10,5
"1",8.2,0,20,0,40,40,0,0,0,"McMullin","Bella Bella","Heiltsuk",2024-08-01,"deep",2.5,120,5
"2",8.4,0,10,0,20,70,0,0,0,"McMullin","Bella Bella","Heiltsuk",2024-08-01,"deep",2.5,120,5
"3",8.4,0,40,0,0,60,0,0,0,"McMullin","Bella Bella","Heiltsuk",2024-08-01,"deep",2.5,120,5
"4",8.5,0,30,0,0,70,0,0,0,"McMullin","Bella Bella","Heiltsuk",2024-08-01,"deep",2.5,120,5
"5",8.5,0,30,0,30,40,0,0,0,"McMullin","Bella Bella","Heiltsuk",2024-08-01,"deep",2.5,120,5
"6",7.9,0,60,10,10,20,0,0,0,"McMullin","Bella Bella","Heiltsuk",2024-08-01,"deep",2.5,120,5
"7",8,0,30,10,20,40,0,0,0,"McMullin","Bella Bella","Heiltsuk",2024-08-01,"deep",2.5,120,5
"8",8.2,0,20,0,20,60,0,0,0,"McMullin","Bella Bella","Heiltsuk",2024-08-01,"deep",2.5,120,5
"9",8.2,0,25,0,15,60,0,0,0,"McMullin","Bella Bella","Heiltsuk",2024-08-01,"deep",2.5,120,5
"10",8.3,0,30,10,30,30,0,0,0,"McMullin","Bella Bella","Heiltsuk",2024-08-01,"deep",2.5,120,5
"1",4.9,0,0,0,60,40,0,0,0,"McMullin","Bella Bella","Heiltsuk",2024-08-01,"shallow",2.5,120,5
"2",5.8,0,0,30,10,60,0,0,0,"McMullin","Bella Bella","Heiltsuk",2024-08-01,"shallow",2.5,120,5
"3",5.1,0,0,10,40,50,0,0,0,"McMullin","Bella Bella","Heiltsuk",2024-08-01,"shallow",2.5,120,5
"4",4.7,0,0,0,30,70,0,0,0,"McMullin","Bella Bella","Heiltsuk",2024-08-01,"shallow",2.5,120,5
"5",4.5,0,5,25,10,60,0,0,0,"McMullin","Bella Bella","Heiltsuk",2024-08-01,"shallow",2.5,120,5
"6",4.8,0,5,30,40,25,0,0,0,"McMullin","Bella Bella","Heiltsuk",2024-08-01,"shallow",2.5,120,5
"7",4.8,0,10,0,20,70,0,0,0,"McMullin","Bella Bella","Heiltsuk",2024-08-01,"shallow",2.5,120,5
"8",4.5,0,10,10,0,0,80,0,0,"McMullin","Bella Bella","Heiltsuk",2024-08-01,"shallow",2.5,120,5
"9",4.4,0,10,0,0,0,90,0,0,"McMullin","Bella Bella","Heiltsuk",2024-08-01,"shallow",2.5,120,5
"10",4.2,0,0,0,10,10,80,0,0,"McMullin","Bella Bella","Heiltsuk",2024-08-01,"shallow",2.5,120,5
"1",7.1,0,0,30,70,0,0,0,0,"Cumshewa","Haida Gwaii","Haida",2024-08-07,"deep",4,300,6
"2",7.2,0,0,50,30,20,0,0,0,"Cumshewa","Haida Gwaii","Haida",2024-08-07,"deep",4,300,6
"3",7.3,0,0,10,60,30,0,0,0,"Cumshewa","Haida Gwaii","Haida",2024-08-07,"deep",4,300,6
"4",7.5,0,0,40,20,40,0,0,0,"Cumshewa","Haida Gwaii","Haida",2024-08-07,"deep",4,300,6
"5",7.8,0,10,60,30,0,0,0,0,"Cumshewa","Haida Gwaii","Haida",2024-08-07,"deep",4,300,6
"6",6.8,0,0,40,30,30,0,0,0,"Cumshewa","Haida Gwaii","Haida",2024-08-07,"deep",4,300,6
"7",7,0,0,20,30,50,0,0,0,"Cumshewa","Haida Gwaii","Haida",2024-08-07,"deep",4,300,6
"8",7.4,0,0,25,25,0,50,0,0,"Cumshewa","Haida Gwaii","Haida",2024-08-07,"deep",4,300,6
"9",7.5,0,0,80,20,0,0,0,0,"Cumshewa","Haida Gwaii","Haida",2024-08-07,"deep",4,300,6
"10",7.6,0,10,30,20,40,0,0,0,"Cumshewa","Haida Gwaii","Haida",2024-08-07,"deep",4,300,6
"1",4.9,0,0,60,0,40,0,0,0,"Cumshewa","Haida Gwaii","Haida",2024-08-09,"shallow",4.5,300,6
"2",4.8,0,0,40,10,50,0,0,0,"Cumshewa","Haida Gwaii","Haida",2024-08-09,"shallow",4.5,300,6
"3",5,0,0,0,20,80,0,0,0,"Cumshewa","Haida Gwaii","Haida",2024-08-09,"shallow",4.5,300,6
"4",5,0,0,10,30,60,0,0,0,"Cumshewa","Haida Gwaii","Haida",2024-08-09,"shallow",4.5,300,6
"5",5.3,0,0,40,60,0,0,0,0,"Cumshewa","Haida Gwaii","Haida",2024-08-09,"shallow",4.5,300,6
"6",4.5,0,0,90,10,0,0,0,0,"Cumshewa","Haida Gwaii","Haida",2024-08-09,"shallow",4.5,300,6
"7",4.6,0,0,30,30,40,0,0,0,"Cumshewa","Haida Gwaii","Haida",2024-08-09,"shallow",4.5,300,6
"8",4.8,0,0,0,60,40,0,0,0,"Cumshewa","Haida Gwaii","Haida",2024-08-09,"shallow",4.5,300,6
"9",5.1,0,0,60,10,30,0,0,0,"Cumshewa","Haida Gwaii","Haida",2024-08-09,"shallow",4.5,300,6
"10",5.4,0,20,60,20,0,0,0,0,"Cumshewa","Haida Gwaii","Haida",2024-08-09,"shallow",4.5,300,6
"1",7.4,30,0,10,0,60,0,0,0,"Skidegate","Haida Gwaii","Haida",2024-08-10,"deep",1.5,30,6
"2",7,50,0,10,0,40,0,0,0,"Skidegate","Haida Gwaii","Haida",2024-08-10,"deep",1.5,30,6
"3",7.1,30,0,0,0,70,0,0,0,"Skidegate","Haida Gwaii","Haida",2024-08-10,"deep",1.5,30,6
"4",7.1,20,0,0,0,80,0,0,0,"Skidegate","Haida Gwaii","Haida",2024-08-10,"deep",1.5,30,6
"5",7.1,70,0,0,0,30,0,0,0,"Skidegate","Haida Gwaii","Haida",2024-08-10,"deep",1.5,30,6
"6",6.1,40,0,0,0,60,0,0,0,"Skidegate","Haida Gwaii","Haida",2024-08-10,"deep",1.5,30,6
"7",5.8,60,10,0,0,10,20,0,0,"Skidegate","Haida Gwaii","Haida",2024-08-10,"deep",1.5,30,6
"8",6.2,60,0,0,0,40,0,0,0,"Skidegate","Haida Gwaii","Haida",2024-08-10,"deep",1.5,30,6
"9",6.4,10,60,0,0,30,0,0,0,"Skidegate","Haida Gwaii","Haida",2024-08-10,"deep",1.5,30,6
"10",6.1,10,40,0,0,50,0,0,0,"Skidegate","Haida Gwaii","Haida",2024-08-10,"deep",1.5,30,6
"1",3.5,0,0,0,0,100,0,0,0,"Skidegate","Haida Gwaii","Haida",2024-08-12,"shallow",1,10,6
"2",3.7,0,10,0,0,90,0,0,0,"Skidegate","Haida Gwaii","Haida",2024-08-12,"shallow",1,10,6
"3",3.7,0,0,0,0,100,0,0,0,"Skidegate","Haida Gwaii","Haida",2024-08-12,"shallow",1,10,6
"4",3.7,0,10,0,0,90,0,0,0,"Skidegate","Haida Gwaii","Haida",2024-08-12,"shallow",1,10,6
"5",3.4,0,0,0,0,100,0,0,0,"Skidegate","Haida Gwaii","Haida",2024-08-12,"shallow",1,10,6
"6",3.7,0,0,0,0,70,30,0,0,"Skidegate","Haida Gwaii","Haida",2024-08-12,"shallow",1,10,6
"7",3.6,10,0,0,0,90,0,0,0,"Skidegate","Haida Gwaii","Haida",2024-08-12,"shallow",1,10,6
"8",3.5,0,0,0,0,100,0,0,0,"Skidegate","Haida Gwaii","Haida",2024-08-12,"shallow",1,10,6
"9",3.5,20,0,0,0,80,0,0,0,"Skidegate","Haida Gwaii","Haida",2024-08-12,"shallow",1,10,6
"10",3.6,0,0,0,0,100,0,0,0,"Skidegate","Haida Gwaii","Haida",2024-08-12,"shallow",1,10,6
"1",6,0,0,40,60,0,0,0,0,"Masset","Haida Gwaii","Haida",2024-08-14,"deep",4,35,6
"2",6.1,0,0,50,50,0,0,0,0,"Masset","Haida Gwaii","Haida",2024-08-14,"deep",4,35,6
"3",6.2,0,0,30,70,0,0,0,0,"Masset","Haida Gwaii","Haida",2024-08-14,"deep",4,35,6
"4",5.9,0,0,20,50,0,30,0,0,"Masset","Haida Gwaii","Haida",2024-08-14,"deep",4,35,6
"5",5.9,0,0,30,40,30,0,0,0,"Masset","Haida Gwaii","Haida",2024-08-14,"deep",4,35,6
"6",5.7,0,0,90,10,0,0,0,0,"Masset","Haida Gwaii","Haida",2024-08-14,"deep",4,35,6
"7",5.9,0,10,60,0,30,0,0,0,"Masset","Haida Gwaii","Haida",2024-08-14,"deep",4,35,6
"8",6,0,0,90,10,0,0,0,0,"Masset","Haida Gwaii","Haida",2024-08-14,"deep",4,35,6
"9",6.2,0,0,80,10,10,0,0,0,"Masset","Haida Gwaii","Haida",2024-08-14,"deep",4,35,6
"10",6.2,0,0,80,20,0,0,0,0,"Masset","Haida Gwaii","Haida",2024-08-14,"deep",4,35,6
"1",3.9,0,20,10,20,0,50,0,0,"Masset","Haida Gwaii","Haida",2024-08-14,"shallow",2.5,210,6
"2",3.6,0,10,0,0,30,60,0,0,"Masset","Haida Gwaii","Haida",2024-08-14,"shallow",2.5,210,6
"3",3.1,0,0,0,0,0,100,0,0,"Masset","Haida Gwaii","Haida",2024-08-14,"shallow",2.5,210,6
"4",3.3,0,0,10,20,0,70,0,0,"Masset","Haida Gwaii","Haida",2024-08-14,"shallow",2.5,210,6
"5",3.4,0,10,0,40,0,50,0,0,"Masset","Haida Gwaii","Haida",2024-08-14,"shallow",2.5,210,6
"6",3.5,0,10,70,0,20,0,0,0,"Masset","Haida Gwaii","Haida",2024-08-14,"shallow",2.5,210,6
"7",3.5,0,0,30,30,40,0,0,0,"Masset","Haida Gwaii","Haida",2024-08-14,"shallow",2.5,210,6
"8",3.3,0,0,10,0,0,90,0,0,"Masset","Haida Gwaii","Haida",2024-08-14,"shallow",2.5,210,6
"9",3.1,0,0,20,0,0,80,0,0,"Masset","Haida Gwaii","Haida",2024-08-14,"shallow",2.5,210,6
"10",3.4,0,0,40,0,40,20,0,0,"Masset","Haida Gwaii","Haida",2024-08-14,"shallow",2.5,210,6
"1",6.3,0,60,0,0,40,0,0,0,"Owen Bay","Quadra","Nanwakolas",2024-08-19,"deep",5,20,3
"2",6.7,0,70,0,0,30,0,0,0,"Owen Bay","Quadra","Nanwakolas",2024-08-19,"deep",5,20,3
"3",7.1,0,30,0,0,70,0,0,0,"Owen Bay","Quadra","Nanwakolas",2024-08-19,"deep",5,20,3
"4",7.2,0,10,0,0,90,0,0,0,"Owen Bay","Quadra","Nanwakolas",2024-08-19,"deep",5,20,3
"5",7.1,0,10,0,0,90,0,0,0,"Owen Bay","Quadra","Nanwakolas",2024-08-19,"deep",5,20,3
"6",6.8,0,0,30,0,70,0,0,0,"Owen Bay","Quadra","Nanwakolas",2024-08-19,"deep",5,20,3
"7",7.2,20,0,0,0,20,60,0,0,"Owen Bay","Quadra","Nanwakolas",2024-08-19,"deep",5,20,3
"8",6.9,10,0,0,0,90,0,0,0,"Owen Bay","Quadra","Nanwakolas",2024-08-19,"deep",5,20,3
"9",7.3,0,0,0,10,90,0,0,0,"Owen Bay","Quadra","Nanwakolas",2024-08-19,"deep",5,20,3
"10",6.9,10,10,0,20,60,0,0,0,"Owen Bay","Quadra","Nanwakolas",2024-08-19,"deep",5,20,3
"1",5.5,0,0,0,0,0,100,0,0,"Octopus","Quadra","Nanwakolas",2024-08-19,"shallow",4,340,3
"2",5.1,0,0,0,0,0,100,0,0,"Octopus","Quadra","Nanwakolas",2024-08-19,"shallow",4,340,3
"3",5.9,0,0,0,0,0,100,0,0,"Octopus","Quadra","Nanwakolas",2024-08-19,"shallow",4,340,3
"4",4.9,0,0,0,0,0,100,0,0,"Octopus","Quadra","Nanwakolas",2024-08-19,"shallow",4,340,3
"5",5.2,0,0,0,0,0,100,0,0,"Octopus","Quadra","Nanwakolas",2024-08-19,"shallow",4,340,3
"6",4.6,0,0,0,0,0,100,0,0,"Octopus","Quadra","Nanwakolas",2024-08-19,"shallow",4,340,3
"7",4.8,20,0,0,0,0,80,0,0,"Octopus","Quadra","Nanwakolas",2024-08-19,"shallow",4,340,3
"8",5.4,0,0,0,0,20,80,0,0,"Octopus","Quadra","Nanwakolas",2024-08-19,"shallow",4,340,3
"9",5.7,0,0,0,0,0,100,0,0,"Octopus","Quadra","Nanwakolas",2024-08-19,"shallow",4,340,3
"10",4.9,0,0,0,0,0,100,0,0,"Octopus","Quadra","Nanwakolas",2024-08-19,"shallow",4,340,3
"1",6,0,0,0,20,20,60,0,0,"Kanish","Quadra","Nanwakolas",2024-08-20,"deep",NA,NA,3
"2",6.8,0,0,0,0,0,100,0,0,"Kanish","Quadra","Nanwakolas",2024-08-20,"deep",NA,NA,3
"3",6.4,0,0,0,0,80,20,0,0,"Kanish","Quadra","Nanwakolas",2024-08-20,"deep",NA,NA,3
"4",6.2,0,0,0,30,70,0,0,0,"Kanish","Quadra","Nanwakolas",2024-08-20,"deep",NA,NA,3
"5",6.6,0,20,0,0,80,0,0,0,"Kanish","Quadra","Nanwakolas",2024-08-20,"deep",NA,NA,3
"1",8.2,0,10,0,30,60,0,0,0,"Octopus","Quadra","Nanwakolas",2024-08-20,"deep",3.5,340,3
"2",8,0,20,0,0,80,0,0,0,"Octopus","Quadra","Nanwakolas",2024-08-20,"deep",3.5,340,3
"3",7.8,0,10,0,0,90,0,0,0,"Octopus","Quadra","Nanwakolas",2024-08-20,"deep",3.5,340,3
"4",8.3,0,0,10,0,90,0,0,0,"Octopus","Quadra","Nanwakolas",2024-08-20,"deep",3.5,340,3
"5",8.4,0,40,0,0,60,0,0,0,"Octopus","Quadra","Nanwakolas",2024-08-20,"deep",3.5,340,3
"6",6.3,0,0,0,0,0,100,0,0,"Kanish","Quadra","Nanwakolas",2024-08-20,"deep",NA,NA,3
"7",5.8,0,0,0,40,60,0,0,0,"Kanish","Quadra","Nanwakolas",2024-08-20,"deep",NA,NA,3
"8",5.9,20,0,0,50,30,0,0,0,"Kanish","Quadra","Nanwakolas",2024-08-20,"deep",NA,NA,3
"9",6.6,20,0,20,20,40,0,0,0,"Kanish","Quadra","Nanwakolas",2024-08-20,"deep",NA,NA,3
"10",5.7,10,0,10,30,50,0,0,0,"Kanish","Quadra","Nanwakolas",2024-08-20,"deep",NA,NA,3
"6",7.9,10,0,0,0,90,0,0,0,"Octopus","Quadra","Nanwakolas",2024-08-20,"deep",3.5,340,3
"7",7.9,20,0,0,0,80,0,0,0,"Octopus","Quadra","Nanwakolas",2024-08-20,"deep",3.5,340,3
"8",7.7,5,0,0,10,85,0,0,0,"Octopus","Quadra","Nanwakolas",2024-08-20,"deep",3.5,340,3
"9",8,20,0,0,0,80,0,0,0,"Octopus","Quadra","Nanwakolas",2024-08-20,"deep",3.5,340,3
"10",8.1,40,0,0,10,50,0,0,0,"Octopus","Quadra","Nanwakolas",2024-08-20,"deep",3.5,340,3
"6",3.9,0,0,0,0,100,0,0,0,"Kanish","Quadra","Nanwakolas",2024-08-20,"shallow",NA,NA,3
"7",3.7,0,0,0,0,100,0,0,0,"Kanish","Quadra","Nanwakolas",2024-08-20,"shallow",NA,NA,3
"8",3.4,0,0,0,0,100,0,0,0,"Kanish","Quadra","Nanwakolas",2024-08-20,"shallow",NA,NA,3
"9",3.3,0,10,0,0,10,80,0,0,"Kanish","Quadra","Nanwakolas",2024-08-20,"shallow",NA,NA,3
"10",3.8,30,0,0,50,20,0,0,0,"Kanish","Quadra","Nanwakolas",2024-08-20,"shallow",NA,NA,3
"1",3.9,0,0,0,0,100,0,0,0,"Kanish","Quadra","Nanwakolas",2024-08-20,"shallow",NA,NA,3
"2",3.9,0,0,0,0,100,0,0,0,"Kanish","Quadra","Nanwakolas",2024-08-20,"shallow",NA,NA,3
"3",3.8,0,0,0,0,100,0,0,0,"Kanish","Quadra","Nanwakolas",2024-08-20,"shallow",NA,NA,3
"4",3.6,0,0,0,0,20,80,0,0,"Kanish","Quadra","Nanwakolas",2024-08-20,"shallow",NA,NA,3
"5",3.8,0,30,0,10,60,0,0,0,"Kanish","Quadra","Nanwakolas",2024-08-20,"shallow",NA,NA,3
"1",3,0,10,0,0,90,0,0,0,"Owen Bay","Quadra","Nanwakolas",2024-08-20,"shallow",5,210,3
"2",3.8,0,0,0,30,70,0,0,0,"Owen Bay","Quadra","Nanwakolas",2024-08-20,"shallow",5,210,3
"3",3.5,0,0,0,10,90,0,0,0,"Owen Bay","Quadra","Nanwakolas",2024-08-20,"shallow",5,210,3
"4",3.9,0,0,0,0,100,0,0,0,"Owen Bay","Quadra","Nanwakolas",2024-08-20,"shallow",5,210,3
"5",4.1,0,20,0,0,80,0,0,0,"Owen Bay","Quadra","Nanwakolas",2024-08-20,"shallow",5,210,3
"6",3.7,0,0,0,10,90,0,0,0,"Owen Bay","Quadra","Nanwakolas",2024-08-20,"shallow",5,210,3
"7",3.6,0,10,0,20,70,0,0,0,"Owen Bay","Quadra","Nanwakolas",2024-08-20,"shallow",5,210,3
"8",3.8,0,0,0,0,100,0,0,0,"Owen Bay","Quadra","Nanwakolas",2024-08-20,"shallow",5,210,3
"9",3.8,0,10,0,0,90,0,0,0,"Owen Bay","Quadra","Nanwakolas",2024-08-20,"shallow",5,210,3
"10",4,0,10,0,20,70,0,0,0,"Owen Bay","Quadra","Nanwakolas",2024-08-20,"shallow",5,210,3
"6",5.9,0,40,0,0,40,10,10,0,"Lizard","Broughton Archipelago",NA,2024-08-25,"deep",2.5,250,4
"7",5.8,0,60,25,0,15,0,0,0,"Lizard","Broughton Archipelago",NA,2024-08-25,"deep",2.5,250,4
"8",5.6,0,60,10,10,20,0,0,0,"Lizard","Broughton Archipelago",NA,2024-08-25,"deep",2.5,250,4
"9",5.6,0,50,20,0,30,0,0,0,"Lizard","Broughton Archipelago",NA,2024-08-25,"deep",2.5,250,4
"10",5.9,0,40,10,10,40,0,0,0,"Lizard","Broughton Archipelago",NA,2024-08-25,"deep",2.5,250,4
"1",6.2,0,70,0,0,30,0,0,0,"Lizard","Broughton Archipelago",NA,2024-08-25,"deep",2.5,250,4
"2",6,0,40,30,0,30,0,0,0,"Lizard","Broughton Archipelago",NA,2024-08-25,"deep",2.5,250,4
"3",5.4,0,10,0,0,90,0,0,0,"Lizard","Broughton Archipelago",NA,2024-08-25,"deep",2.5,250,4
"4",6.1,0,10,0,0,90,0,0,0,"Lizard","Broughton Archipelago",NA,2024-08-25,"deep",2.5,250,4
"5",6,0,10,20,0,70,0,0,0,"Lizard","Broughton Archipelago",NA,2024-08-25,"deep",2.5,250,4
"6",3.1,35,20,5,10,30,0,0,0,"Lizard","Broughton Archipelago",NA,2024-08-25,"shallow",2,240,4
"7",3.1,5,25,0,10,60,0,0,0,"Lizard","Broughton Archipelago",NA,2024-08-25,"shallow",2,240,4
"8",2.8,5,25,0,0,70,0,0,0,"Lizard","Broughton Archipelago",NA,2024-08-25,"shallow",2,240,4
"9",2.7,10,50,0,10,30,0,0,0,"Lizard","Broughton Archipelago",NA,2024-08-25,"shallow",2,240,4
"10",2.8,0,40,0,20,40,0,0,0,"Lizard","Broughton Archipelago",NA,2024-08-25,"shallow",2,240,4
"1",3.8,0,30,0,0,70,0,0,0,"Lizard","Broughton Archipelago",NA,2024-08-25,"shallow",2,240,4
"2",3.5,0,60,0,10,30,0,0,0,"Lizard","Broughton Archipelago",NA,2024-08-25,"shallow",2,240,4
"3",3.1,0,20,0,0,80,0,0,0,"Lizard","Broughton Archipelago",NA,2024-08-25,"shallow",2,240,4
"4",3,0,30,0,0,70,0,0,0,"Lizard","Broughton Archipelago",NA,2024-08-25,"shallow",2,240,4
"5",3,0,20,10,0,70,0,0,0,"Lizard","Broughton Archipelago",NA,2024-08-25,"shallow",2,240,4
"6",7.8,0,0,20,10,40,30,0,0,"Nimpkish","Broughton Archipelago",NA,2024-08-26,"deep",5.5,277,4
"7",7.6,0,0,0,10,70,20,0,0,"Nimpkish","Broughton Archipelago",NA,2024-08-26,"deep",5.5,277,4
"8",7.3,0,20,0,10,70,0,0,0,"Nimpkish","Broughton Archipelago",NA,2024-08-26,"deep",5.5,277,4
"9",7.2,0,30,30,0,40,0,0,0,"Nimpkish","Broughton Archipelago",NA,2024-08-26,"deep",5.5,277,4
